"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"11054","N1(=CC(=CC=C1)C2(N(CC=C2)C))","CN1CC=CC1C1C=NC=CC=1","InChI=1S/C10H12N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2-6,8,10H,7H2,1H3","DGSQJGQNPIUNTK-UHFFFAOYSA-N","?","24",,"b/apparent","?","basic",7.04
"11042","N=2(C1(=C(C=CC=C1)NC=2C(C)C))","CC(C)C1NC2C=CC=CC=2N=1","InChI=1S/C10H12N2/c1-7(2)10-11-8-5-3-4-6-9(8)12-10/h3-7H,1-2H3,(H,11,12)","RITUGMAIQCZEOG-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",6.23
"11040","N=2(C1(=C(C=CC=C1)N(C=2)C(C)C))","CC(C)N1C=NC2C=CC=CC1=2","InChI=1S/C10H12N2/c1-8(2)12-7-11-9-5-3-4-6-10(9)12/h3-8H,1-2H3","UMJVKPYTXOUBSB-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",5.74
"11046","N2(C1(=C(C=CC=C1)C(=C2)CCN))","NCCC1=CNC2C=CC=CC=21","InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2","APJYDQYYACXCRM-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","basic",10.2
"13350","O1(C(=NCCC1)NC2(=CC=CC=C2))","C1CCOC(NC2C=CC=CC=2)=N1","InChI=1S/C10H12N2O/c1-2-5-9(6-3-1)12-10-11-7-4-8-13-10/h1-3,5-6H,4,7-8H2,(H,11,12)","DEGOJTIJRHPLRR-UHFFFAOYSA-N","?","20",,"a1/apparent","NH(+)","basic",9.33
"13344","O=C1(N(C=2(C=CC=CC=2(N1C)))CC)","CN1C2C=CC=CC=2N(CC)C1=O","InChI=1S/C10H12N2O/c1-3-12-9-7-5-4-6-8(9)11(2)10(12)13/h4-7H,3H2,1-2H3","ZIYRJIZPYNCEGL-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","?","basic",-3.7
"13334","O(C2(=CC=1(N=C(C)NC=1C=C2)))CC","CC1NC2C=CC(=CC=2N=1)OCC","InChI=1S/C10H12N2O/c1-3-13-8-4-5-9-10(6-8)12-7(2)11-9/h4-6H,3H2,1-2H3,(H,11,12)","JDNFGNIUEHOZCP-UHFFFAOYSA-N","?",,,"a1/apparent","=NH(+)","basic",6.22
"15600","O=[N+]([O-])C1(=CC(=C([O-])C=C1)CNC(C(=O)[O-])CO)","[O-][N+](=O)C1C=CC(O)=C(CN=C(CO)C(O)O)C=1","InChI=1S/C10H12N2O6/c13-5-8(10(15)16)11-4-6-3-7(12(17)18)1-2-9(6)14/h1-3,10,13-16H,4-5H2","XEGPVLSQXONHBD-UHFFFAOYSA-N","?","25","mean from 2","a3/apparent","=NH-H(1+)","basic",9.75
"15386","O=C([O-])C1(=[N+](C([O-])=NC(=C1)[O-])C2(OC(CO)C(C2O)O))","OCC1OC(C(O)C1O)[N+]1C(=CC(O)=NC=1O)C(O)=O","InChI=1S/C10H12N2O8/c13-2-4-6(15)7(16)8(20-4)12-3(9(17)18)1-5(14)11-10(12)19/h1,4,6-8,13,15-16H,2H2,(H2,11,14,17,18,19)/p+1","JGHZEUHLNBXAGU-UHFFFAOYSA-O","?",,"spectrophotometric","a1/apparent","?","basic",9.0
"15056","OC=1(N(N=C(C=1)C)C2(=NC([O-])=C(C)C(=N2)C))","CC1=NC(=NC(O)=C1C)N1N=C(C)C=C1O","InChI=1S/C10H12N4O2/c1-5-4-8(15)14(13-5)10-11-7(3)6(2)9(16)12-10/h4,15H,1-3H3,(H,11,12,16)","VBANUYXYNRELIJ-UHFFFAOYSA-N","?","20","potentiometric","a2/apparent","?","basic",10.3
"15510","O3(C(N2(C1(=NC=NC=C1N=C2)))C(O)C(O)C(C3)O)","OC1C(O)COC(C1O)N1C=NC2=CN=CN=C12","InChI=1S/C10H12N4O4/c15-6-2-18-10(8(17)7(6)16)14-4-13-5-1-11-3-12-9(5)14/h1,3-4,6-8,10,15-17H,2H2","ZRIWEAHBJGUYQH-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",1.8
"16697","[S-]C1(=NC=NC2(=C1N=CN2C3(OC(CO)C(C3O)O)))","OCC1OC(C(O)C1O)N1C=NC2=C(S)N=CN=C12","InChI=1S/C10H12N4O4S/c15-1-4-6(16)7(17)10(18-4)14-3-13-5-8(14)11-2-12-9(5)19/h2-4,6-7,10,15-17H,1H2,(H,11,12,19)","NKGPJODWTZCHGF-UHFFFAOYSA-N","?",,"mean from 2","a/apparent","?","basic",7.63
"16129","O(C2(=CC=C(N=NC=1(C(=NNC=1N)N))C=C2))C","COC1C=CC(=CC=1)N=NC1=C(N)NN=C1N","InChI=1S/C10H12N6O/c1-17-7-4-2-6(3-5-7)13-14-8-9(11)15-16-10(8)12/h2-5H,1H3,(H5,11,12,15,16)","QNRNTYHAOBVOKW-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",3.39
"13497","S(C(=O)C1(=CC=C(OC)C=C1))CC","CCSC(=O)C1C=CC(=CC=1)OC","InChI=1S/C10H12O2S/c1-3-13-10(11)8-4-6-9(12-2)7-5-8/h4-7H,3H2,1-2H3","SXWYEKVBZGARII-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-3.77
"10576","S(C(=O)C1(=CC(=CC=C1)C))CC","CC1C=C(C=CC=1)C(=O)SCC","InChI=1S/C10H12OS/c1-3-12-10(11)9-6-4-5-8(2)7-9/h4-7H,3H2,1-2H3","BMMBPKGCRIBKFY-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-4.77
"10577","S(C(=O)C1(=CC=C(C)C=C1))CC","CC1C=CC(=CC=1)C(=O)SCC","InChI=1S/C10H12OS/c1-3-12-10(11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3","JJLWSRBOLXFWER-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-4.2
"13903","N2(C(C1(=CC=CC=C1))CCC2)","C1CCC(N1)C1C=CC=CC=1","InChI=1S/C10H13N/c1-2-5-9(6-3-1)10-7-4-8-11-10/h1-3,5-6,10-11H,4,7-8H2","JUTDHSGANMHVIC-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","basic",9.6
"13908","N2(C1(=CC=CC=C1))(CCCC2)","C1CCCN1C1C=CC=CC=1","InChI=1S/C10H13N/c1-2-6-10(7-3-1)11-8-4-5-9-11/h1-3,6-7H,4-5,8-9H2","VDQQJMHXZCMNMU-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","basic",4.3
"14397","N(C1(=CC=CC=C1))C(C=C)C","CC(C=C)NC1C=CC=CC=1","InChI=1S/C10H13N/c1-3-9(2)11-10-7-5-4-6-8-10/h3-9,11H,1H2,2H3","DYHSFVIHXKGVNV-UHFFFAOYSA-N","?","25","potentiometric","b/apparent","?","basic",4.57
"13891","NC2(=CC1(=C(CCCC1)C=C2))","NC1=CC2CCCCC=2C=C1","InChI=1S/C10H13N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h5-7H,1-4,11H2","MOXOFSFWYLTCFU-UHFFFAOYSA-N","?","17","potentiometric","a/apparent","?","basic",5.2
"13893","NC2(C1(=C(C=CC=C1)CCC2))","NC1CCCC2C=CC=CC=21","InChI=1S/C10H13N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-2,4,6,10H,3,5,7,11H2","JRZGPXSSNPTNMA-UHFFFAOYSA-N","?","20","potentiometric","a/apparent","?","basic",9.66
"13900","NC1(=C2(C(=CC=C1)CCCC2))","NC1C=CC=C2CCCCC2=1","InChI=1S/C10H13N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h3,5,7H,1-2,4,6,11H2","SODWJACROGQSMM-UHFFFAOYSA-N","?","16","potentiometric","a/apparent","?","basic",4.5
"17137","[S-]C2(=[NH+]C([O-])=C(C1(=CCCCC1))C(=N2)N)","NC1N=C(S)N=C(O)C=1C1CCCCC=1","InChI=1S/C10H13N3OS/c11-8-7(6-4-2-1-3-5-6)9(14)13-10(15)12-8/h4H,1-3,5H2,(H4,11,12,13,14,15)","SOPLCIIQDJJIBM-UHFFFAOYSA-N","?","28","spectrophotometric","a/apparent","?","basic",7.11
"16741","O3(C(N2(C1(=NC(=NC=C1N=C2)N)))C(O)C(C3CO)O)","NC1N=C2C(=CN=1)N=CN2C1OC(CO)C(O)C1O","InChI=1S/C10H13N5O4/c11-10-12-1-4-8(14-10)15(3-13-4)9-7(18)6(17)5(2-16)19-9/h1,3,5-7,9,16-18H,2H2,(H2,11,12,14)","JVOJULURLCZUDE-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",3.4
"16742","O3(C(N2(C1(=C(N=CN=C1N=C2)N)))C(O)C(C3CO)O)","NC1N=CN=C2N=CN(C3OC(CO)C(O)C3O)C2=1","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)14-3-15(5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)","UGBOLVVJCMKMDN-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",3.9
"15338","[S-]C1(=NC(=NC2(=C1N=CN2C3(OC(CO)C(C3O)O)))N)","NC1N=C2C(N=CN2C2OC(CO)C(O)C2O)=C(S)N=1","InChI=1S/C10H13N5O4S/c11-10-13-7-4(8(20)14-10)12-2-15(7)9-6(18)5(17)3(1-16)19-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,20)","OTDJAMXESTUWLO-UHFFFAOYSA-N","?","23","mean from 2","a/apparent","?","basic",8.34
"15339","[Se-]C1(=NC(=NC2(=C1N=CN2C3(OC(CO)C(C3O)O)))N)","NC1=NC2=C(N=CN2C2OC(CO)C(O)C2O)C([Se-])=N1","InChI=1S/C10H13N5O4Se/c11-10-13-7-4(8(20)14-10)12-2-15(7)9-6(18)5(17)3(1-16)19-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,20)/p-1","JEWAOLSIJOZQMU-UHFFFAOYSA-M","?","25","spectrophotometric","a1/apparent","N-H","basic",7.68
"15347","O3(C(N2(C1(=NC(=NC(=C1N=C2)[O-])N)))C(O)C(C3CO)O)","NC1=NC(O)=C2N=CN(C3OC(CO)C(O)C3O)C2=N1","InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)","NYHBQMYGNKIUIF-UHFFFAOYSA-N","?","22","mean from 4","a1/apparent","?","basic",9.41
"11194","O(C2(=CC1(=C(NC(C1)C)C=C2)))C","COC1=CC2CC(C)NC=2C=C1","InChI=1S/C10H13NO/c1-7-5-8-6-9(12-2)3-4-10(8)11-7/h3-4,6-7,11H,5H2,1-2H3","MKZAAOOSZBRZEP-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","N-H","basic",6.2
"13642","O=C(OC)C1(=CC=C(N(C)C)C=C1)","COC(=O)C1C=CC(=CC=1)N(C)C","InChI=1S/C10H13NO2/c1-11(2)9-6-4-8(5-7-9)10(12)13-3/h4-7H,1-3H3","DBQGARDMYOMOOS-UHFFFAOYSA-N","?","25","spectrophotometric","a1/thermodynamic","NH+","basic",2.61
"13655","O=C(OC)C1(=C(N(C)C)C=CC=C1)","COC(=O)C1C=CC=CC=1N(C)C","InChI=1S/C10H13NO2/c1-11(2)9-7-5-4-6-8(9)10(12)13-3/h4-7H,1-3H3","ZCNSBHAIPOWHJE-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",5.55
"13650","O=C(OC)C(N)CC1(=CC=CC=C1)","COC(O)C(=N)CC1C=CC=CC=1","InChI=1S/C10H13NO2/c1-13-10(12)9(11)7-8-5-3-2-4-6-8/h2-6,10-12H,7H2,1H3","RTWLPLNTEKRYNY-UHFFFAOYSA-N","?","25","potentiometric","a/thermodynamic","?","basic",7.0
"13646","O=C(C1(=CC=C(O)C=C1))CNCC","CCN=CC(O)C1=CC=C(O)C=C1","InChI=1S/C10H13NO2/c1-2-11-7-10(13)8-3-5-9(12)6-4-8/h3-7,10,12-13H,2H2,1H3","LQUOKMLTSJDZIZ-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","basic",7.77
"13660","O=C([O-])C1(=NC=C(CCCC)C=C1)","CCCCC1=CC=C(N=C1)C(O)=O","InChI=1S/C10H13NO2/c1-2-3-4-8-5-6-9(10(12)13)11-7-8/h5-7H,2-4H2,1H3,(H,12,13)","DGMPVYSXXIOGJY-UHFFFAOYSA-N","?",,,"b1","?","basic",5.7
"13659","O=C([O-])C1(=NC=C(CC)C(=C1)CC)","CCC1C=C(N=CC=1CC)C(O)=O","InChI=1S/C10H13NO2/c1-3-7-5-9(10(12)13)11-6-8(7)4-2/h5-6H,3-4H2,1-2H3,(H,12,13)","LYKNWGHUCYPLOC-UHFFFAOYSA-N","?",,"potentiometric","a/apparent","?","basic",6.58
"13388","O2(C1(=C(C=CC(=C1)CC(N)C)OC2))","CC(N)CC1C=CC2OCOC=2C=1","InChI=1S/C10H13NO2/c1-7(11)4-8-2-3-9-10(5-8)13-6-12-9/h2-3,5,7H,4,6,11H2,1H3","NGBBVGZWCFBOGO-UHFFFAOYSA-N","?","25","potentiometric","b/apparent","?","basic",9.67
"13221","O=C([O-])CCC#CC#CCCCN","NCCCC#CC#CCC=C(O)O","InChI=1S/C10H13NO2/c11-9-7-5-3-1-2-4-6-8-10(12)13/h8,12-13H,5-7,9,11H2","CEDHIFXXGWMUCO-UHFFFAOYSA-N","?","20","mean from 3","b1/apparent","?","basic",9.94
"13425","S1(C(NCC1)C2(=CC(OC)=CC=C2))","COC1C=C(C=CC=1)C1NCCS1","InChI=1S/C10H13NOS/c1-12-9-4-2-3-8(7-9)10-11-5-6-13-10/h2-4,7,10-11H,5-6H2,1H3","MAZFHPGDLDKIHS-UHFFFAOYSA-N","?","27","potentiometric","a1/apparent","N-H","basic",5.12
"13426","S1(C(NCC1)C2(=CC=C(OC)C=C2))","COC1C=CC(=CC=1)C1NCCS1","InChI=1S/C10H13NOS/c1-12-9-4-2-8(3-5-9)10-11-6-7-13-10/h2-5,10-11H,6-7H2,1H3","OQFUUZFCTONCOU-UHFFFAOYSA-N","?","27","mean from 2","a1/apparent","=NH2(1+)","basic",5.45
"10769","S(C(=N)C1(=CC=CC=C1))CCC","CCCSC(=N)C1C=CC=CC=1","InChI=1S/C10H13NS/c1-2-8-12-10(11)9-6-4-3-5-7-9/h3-7,11H,2,8H2,1H3","XSFBTEQUZBQOHU-UHFFFAOYSA-N","?","25",,"b/apparent","?","basic",8.1
"11148","S1(C(NCC1)C2(=CC=C(C)C=C2))","CC1=CC=C(C=C1)C1NCCS1","InChI=1S/C10H13NS/c1-8-2-4-9(5-3-8)10-11-6-7-12-10/h2-5,10-11H,6-7H2,1H3","NLKGQUAQKCOAHV-UHFFFAOYSA-N","?","27","mean from 2","a1/apparent","=NH2(1+)","basic",5.35
"11147","S1(C(NCC1)C2(=CC(=CC=C2)C))","CC1C=C(C=CC=1)C1NCCS1","InChI=1S/C10H13NS/c1-8-3-2-4-9(7-8)10-11-5-6-12-10/h2-4,7,10-11H,5-6H2,1H3","XGRWDOHURTVHMY-UHFFFAOYSA-N","?","27","mean from 2","a1/apparent","=NH2(1+)","basic",5.26
"10765","[Br]C1(=CC(=C(N(C)C)C(=C1)C)C)","CC1C=C(Br)C=C(C)C=1N(C)C","InChI=1S/C10H14BrN/c1-7-5-9(11)6-8(2)10(7)12(3)4/h5-6H,1-4H3","NDDKEDQKCHIHMI-UHFFFAOYSA-N","?","23","spectrophotometric","a/apparent","?","basic",4.36
"11053","N1(=CC(=CC=C1)C2(NCCCC2))","C1CCCC(N1)C1C=NC=CC=1","InChI=1S/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4,6,8,10,12H,1-2,5,7H2","MTXSIJUGVMTTMU-UHFFFAOYSA-N","?","29","mean from 2","a/apparent","?","basic",4.01
"11035","N1(=NC(=C(C)C2(=C1CCCC2))C)","CC1N=NC2CCCCC=2C=1C","InChI=1S/C10H14N2/c1-7-8(2)11-12-10-6-4-3-5-9(7)10/h3-6H2,1-2H3","WSUGNZPINSWXPV-UHFFFAOYSA-N","?","28.5","potentiometric","a/apparent","?","basic",5.41
"10637","N(C1(=CC=C(C)C=C1))=CN(C)C","CC1C=CC(=CC=1)N=CN(C)C","InChI=1S/C10H14N2/c1-9-4-6-10(7-5-9)11-8-12(2)3/h4-8H,1-3H3","NOBRDGQOCLNSSL-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","N=C-H","basic",9.21
"10636","N(C1(=C(C=CC=C1)C))=CN(C)C","CC1C=CC=CC=1N=CN(C)C","InChI=1S/C10H14N2/c1-9-6-4-5-7-10(9)11-8-12(2)3/h4-8H,1-3H3","VTJDEAHIKIEJET-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",8.27
"13574","O(C1(=CC=C(N=CN(C)C)C=C1))C","COC1C=CC(=CC=1)N=CN(C)C","InChI=1S/C10H14N2O/c1-12(2)8-11-9-4-6-10(13-3)7-5-9/h4-8H,1-3H3","KEHWKNJZSFYKEM-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","N=C-H","basic",9.35
