DSSTox_Source_Record_Id,Extenal_ID,DSSTox_Substance_Id,DSSTox_Structure_Id,DSSTox_QC-Level,Substance_Name,Substance_CASRN,Substance_Type,Substance_Note,Structure_SMILES,Structure_InChI,Structure_InChIKey,Structure_Formula,Structure_MolWt,Structure_SMILES_2D-QSAR,DateModified
DTXRID206088729,25,DTXSID30177517,DTXCID90100008,Public_Medium,2-Selenophenecarboxylic acid,22968-45-2,Single Compound,Loaded based on no conflicts with this data in chemid and pubchem,OC(=O)C1=CC=C[Se]1,"InChI=1S/C5H4O2Se/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)
AuxInfo=1/1/N:6,5,7,4,8,2,3,1/E:(6,7)/rA:8SeOOCCCCC/rB:;;s1;d4;s5;s1d6;s2d3s4;/rC:4.3258,-.4988,0;7.3563,-1.5758,0;8.1807,.961,0;5.5716,.4062,0;5.0958,1.871,0;3.5558,1.871,0;3.08,.4062,0;7.0362,-.0696,0;
",WAQBFLCVNNZBQR-UHFFFAOYSA-N,C5H4O2Se,175.056,OC(=O)C1=CC=C[Se]1,20170228
DTXRID506088730,26,DTXSID90900969,DTXCID701329397,Incomplete,NoName_14,NOCAS_900969,Single Compound,,OP1(=O)CCCCC1,"InChI=1S/C5H11O2P/c6-8(7)4-2-1-3-5-8/h1-5H2,(H,6,7)
AuxInfo=1/1/N:6,5,7,4,8,2,3,1/E:(2,3)(4,5)(6,7)/rA:8POOCCCCC/rB:d1;s1;s1;s4;s5;s6;s1s7;/rC:1.3336,-1.1802,0;.3437,-.0005,0;2.3235,-.0005,0;-.0001,-1.9502,0;-.0001,-3.4902,0;1.3336,-4.2602,0;2.6673,-3.4902,0;2.6673,-1.9502,0;
",NNCQZOVCNZHBKO-UHFFFAOYSA-N,C5H11O2P,134.115,OP1(=O)CCCCC1,20180702
DTXRID206088731,27,DTXSID10315278,DTXCID40266401,Public_Low,"2H-Thiopyran-3,5(4H,6H)-dione",6881-49-8,Single Compound,,O=C1CSCC(=O)C1,"InChI=1S/C5H6O2S/c6-4-1-5(7)3-8-2-4/h1-3H2
AuxInfo=1/0/N:4,5,6,7,8,2,3,1/E:(2,3)(4,5)(6,7)/rA:8SOOCCCCC/rB:;;;s1;s1;d2s4s5;d3s4s6;/rC:5.7473,1.54,0;8.4147,-1.54,0;3.08,-1.54,0;5.7473,-1.54,0;7.0812,.77,0;4.4137,.77,0;7.0812,-.77,0;4.4137,-.77,0;
",VDHPFHUCOPGRLS-UHFFFAOYSA-N,C5H6O2S,130.16,O=C1CSCC(=O)C1,20170228
DTXRID906088732,30,DTXSID6024200,DTXCID804200,DSSTox_Low,m-Cresol,108-39-4,Single Compound,,CC1=CC(O)=CC=C1,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3
AuxInfo=1/0/N:8,5,7,6,1,3,2,4/rA:8CCCOCCCC/rB:s1;d1;s2;;d2s5;s3d5;s3;/rC:2.6446,-2.3059,0;1.3084,-1.5404,0;2.6446,-3.8463,0;1.3084,0,0;0,-3.8463,0;0,-2.3059,0;1.3084,-4.6119,0;3.9947,-4.6397,0;
",RLSSMJSEOOYNOY-UHFFFAOYSA-N,C7H8O,108.14,CC1=CC(O)=CC=C1,20170228
DTXRID606088733,31,DTXSID7021869,DTXCID101869,DSSTox_High,p-Cresol,106-44-5,Single Compound,,CC1=CC=C(O)C=C1,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3
AuxInfo=1/0/N:6,4,7,3,8,5,2,1/E:(2,3)(4,5)/rA:8OCCCCCCC/rB:s1;d2;s3;d4;s5;s5;s2d7;/rC:0,-1.3368,0;1.54,-1.3368,0;2.31,0,0;3.85,0,0;4.62,-1.3368,0;6.1601,-1.3368,0;3.85,-2.6673,0;2.31,-2.6673,0;
",IWDCLRJOBJJRNH-UHFFFAOYSA-N,C7H8O,108.14,CC1=CC=C(O)C=C1,20170228
DTXRID306088734,32,DTXSID8021808,DTXCID901808,DSSTox_High,o-Cresol,95-48-7,Single Compound,,CC1=C(O)C=CC=C1,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3
AuxInfo=1/0/N:4,6,7,5,8,3,2,1/rA:8OCCCCCCC/rB:s1;d2;s3;s3;d5;s6;s2d7;/rC:2.1708,.1664,0;2.1708,-1.3736,0;3.5045,-2.1436,0;4.8382,-1.3736,0;3.5045,-3.6836,0;2.1708,-4.4536,0;.8372,-3.6836,0;.8372,-2.1436,0;
",QWVGKYWNOKOFNN-UHFFFAOYSA-N,C7H8O,108.14,CC1=C(O)C=CC=C1,20170615
DTXRID006088735,33,DTXSID00900970,DTXCID401329398,Incomplete,NoName_15,NOCAS_900970,Single Compound,,CC(=O)C1=CC=CC1,"InChI=1S/C7H8O/c1-6(8)7-4-2-3-5-7/h2-4H,5H2,1H3
AuxInfo=1/0/N:8,5,6,4,7,2,3,1/rA:8OCCCCCCC/rB:d1;s2;d3;s4;d5;s3s6;s2;/rC:2.6681,-.0017,0;1.3345,-.7717,0;1.3345,-2.3117,0;.0886,-3.2169,0;.5645,-4.6815,0;2.1045,-4.6815,0;2.5803,-3.2169,0;.0008,-.0017,0;
",XRPKZMVAXPQSCL-UHFFFAOYSA-N,C7H8O,108.14,CC(=O)C1=CC=CC1,20180702
DTXRID706088736,34,DTXSID5021544,DTXCID901544,DSSTox_Low,2-Chlorophenol,95-57-8,Single Compound,,OC1=CC=CC=C1Cl,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H
AuxInfo=1/0/N:5,4,6,3,7,2,8,1/rA:8OCCCCCCCl/rB:s1;d2;s3;d4;s5;s2d6;s7;/rC:4.6246,-2.6685,0;3.0846,-2.6685,0;2.3124,-4.005,0;.7724,-4.005,0;0,-2.6685,0;.7724,-1.3365,0;2.3124,-1.3365,0;3.0846,0,0;
",ISPYQTSUDJAMAB-UHFFFAOYSA-N,C6H5ClO,128.56,OC1=CC=CC=C1Cl,20180619
DTXRID406088737,35,DTXSID0047745,DTXCID0027729,DSSTox_Low,2-Fluorophenol,367-12-4,Single Compound,,OC1=C(F)C=CC=C1,"InChI=1S/C6H5FO/c7-5-3-1-2-4-6(5)8/h1-4,8H
AuxInfo=1/0/N:7,5,6,4,3,1,8,2/rA:8COCCCCCF/rB:s1;d1;s1;d4;s3;s5d6;s3;/rC:1.3253,-1.5245,0;1.3253,0,0;2.6458,-2.3168,0;0,-2.3168,0;0,-3.8413,0;2.6458,-3.8413,0;1.3253,-4.6337,0;3.9711,-1.5615,0;
",HFHFGHLXUCOHLN-UHFFFAOYSA-N,C6H5FO,112.103,OC1=C(F)C=CC=C1,20170228
DTXRID106088738,36,DTXSID5052175,DTXCID5030745,DSSTox_Low,2-Iodophenol,533-58-4,Single Compound,,OC1=C(I)C=CC=C1,"InChI=1S/C6H5IO/c7-5-3-1-2-4-6(5)8/h1-4,8H
AuxInfo=1/0/N:4,6,2,5,1,3,8,7/rA:8CCCCCCOI/rB:s1;d1;d2;s3;s4d5;s3;s1;/rC:2.6732,-2.3217,0;2.6732,-3.8617,0;1.3365,-1.54,0;1.3365,-4.6248,0;0,-2.3217,0;0,-3.8617,0;1.3365,0,0;4.0097,-1.54,0;
",KQDJTBPASNJQFQ-UHFFFAOYSA-N,C6H5IO,220.009,OC1=C(I)C=CC=C1,20170228
DTXRID806088739,37,DTXSID8052641,DTXCID5031214,DSSTox_Low,2-Bromophenol,95-56-7,Single Compound,,OC1=C(Br)C=CC=C1,"InChI=1S/C6H5BrO/c7-5-3-1-2-4-6(5)8/h1-4,8H
AuxInfo=1/0/N:4,6,2,5,1,3,8,7/rA:8CCCCCCOBr/rB:s1;d1;d2;s3;s4d5;s3;s1;/rC:2.6729,-2.303,0;2.6729,-3.843,0;1.3365,-1.54,0;1.3365,-4.6245,0;0,-2.303,0;0,-3.843,0;1.3365,0,0;3.9909,-1.5215,0;
",VADKRMSMGWJZCF-UHFFFAOYSA-N,C6H5BrO,173.009,OC1=C(Br)C=CC=C1,20170228
DTXRID106088740,38,DTXSID4024800,DTXCID004800,DSSTox_Low,3-Chlorophenol,108-43-0,Single Compound,,OC1=CC(Cl)=CC=C1,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H
AuxInfo=1/0/N:4,3,5,8,2,6,1,7/rA:8ClCCCCCOC/rB:s1;d2;s3;d4;s5;s6;s2d6;/rC:0,-3.08,0;1.3345,-2.3114,0;1.3345,-.7686,0;2.669,0,0;4.0035,-.7686,0;4.0035,-2.3114,0;5.3379,-3.08,0;2.669,-3.08,0;
",HORNXRXVQWOLPJ-UHFFFAOYSA-N,C6H5ClO,128.56,OC1=CC(Cl)=CC=C1,20170228
DTXRID806088741,39,DTXSID3052305,DTXCID0030877,DSSTox_Low,3-Iodophenol,626-02-8,Single Compound,,OC1=CC=CC(I)=C1,"InChI=1S/C6H5IO/c7-5-2-1-3-6(8)4-5/h1-4,8H
AuxInfo=1/0/N:4,2,6,3,1,5,8,7/rA:8CCCCCCOI/rB:s1;d1;d2;s3;s4d5;s5;s1;/rC:3.9969,-.7728,0;3.9969,-2.3128,0;2.6646,0,0;2.6646,-3.0696,0;1.3323,-.7728,0;1.3323,-2.3128,0;;5.3291,0,0;
",FXTKWBZFNQHAAO-UHFFFAOYSA-N,C6H5IO,220.009,OC1=CC=CC(I)=C1,20170228
