Original_Source_ID,Original_SMILES,Canonical_SMILES,InChI,InChIKey,Salt_Solvent_(Concatenate),temp,method,type,group,basicOrAcidic,pKa,DSSTox_Structure_Id,Substance_Name,Substance_CASRN,Substance_Type,Structure_SMILES,Structure_Formula
16092,S(=O)(=O)(NC1(=NC=NC=C1))C2(=CC=C(N)C=C2),NC1C=CC(=CC=1)S(=O)(=O)NC1C=CN=CN=1,"InChI=1S/C10H10N4O2S/c11-8-1-3-9(4-2-8)17(15,16)14-10-5-6-12-7-13-10/h1-7H,11H2,(H,12,13,14)",PXDBUWPMANSAFI-UHFFFAOYSA-N,?,,potentiometric,a/apparent,?,acidic,6.17,DTXCID401330361,NoName_1326,NOCAS_902113,Single Compound,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=NC=C1,C10H10N4O2S
16090,S(=O)(=O)(NC1(=NC=CN=C1))C2(=CC=C(N)C=C2),NC1C=CC(=CC=1)S(=O)(=O)NC1C=NC=CN=1,"InChI=1S/C10H10N4O2S/c11-8-1-3-9(4-2-8)17(15,16)14-10-7-12-5-6-13-10/h1-7H,11H2,(H,13,14)",YEAICDDXRUOCKJ-UHFFFAOYSA-N,?,,potentiometric,a/apparent,?,acidic,6.04,DTXCID5073747,Sulfapyrazine,116-44-9,Single Compound,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CN=C1,C10H10N4O2S
16088,S(=O)(=O)(NC1(=NC=CC=N1))C2(=CC=C(N)C=C2),NC1C=CC(=CC=1)S(=O)(=O)NC1N=CC=CN=1,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",SEEPANYCNGTZFQ-UHFFFAOYSA-N,?,24,mean from 3,a1/apparent,?,acidic,6.42,DTXCID5024130,Sulfadiazine,68-35-9,Single Compound,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,C10H10N4O2S
16583,S(=O)(=O)(N)C=2(SC(N(C1(=CC=CC=C1))C(=O)C)=NN=2),C=C(O)N(C1=NN=C(S1)S(N)(=O)=O)C1C=CC=CC=1,"InChI=1S/C10H10N4O3S2/c1-7(15)14(8-5-3-2-4-6-8)9-12-13-10(18-9)19(11,16)17/h2-6,15H,1H2,(H2,11,16,17)",MJIOHLOXXNINBP-UHFFFAOYSA-N,?,,spectrophotometric,a/apparent,?,acidic,7.32,,,,,,
15730,O=C(O)C2(=CC=C(N=NC=1(C(=NNC=1N)N))C=C2),NC1=NNC(N)=C1N=NC1C=CC(=CC=1)C(O)=O,"InChI=1S/C10H10N6O2/c11-8-7(9(12)16-15-8)14-13-6-3-1-5(2-4-6)10(17)18/h1-4H,(H,17,18)(H5,11,12,15,16)",NCWCSLXGDWIAIT-UHFFFAOYSA-N,?,25,spectrophotometric,a2/apparent,?,acidic,4.68,,,,,,
10529,O=C(C1(=CC=CC=C1))CC(=O)C,CC(=O)C=C(O)C1C=CC=CC=1,"InChI=1S/C10H10O2/c1-8(11)7-10(12)9-5-3-2-4-6-9/h2-7,12H,1H3",MPRZBJONKJDMJV-UHFFFAOYSA-N,?,24,mean from 5,a/apparent,?,acidic,8.69,,,,,,
10520,O=C(O)C=CC1(=CC(=CC=C1)C),CC1C=C(C=CC=1)C=CC(O)=O,"InChI=1S/C10H10O2/c1-8-3-2-4-9(7-8)5-6-10(11)12/h2-7H,1H3,(H,11,12)",JZINNAKNHHQBOS-UHFFFAOYSA-N,?,25,,apparent,?,acidic,4.44,,,,,,
10523,O=C(O)C=CC1(=C(C=CC=C1)C),CC1C=CC=CC=1C=CC(O)=O,"InChI=1S/C10H10O2/c1-8-4-2-3-5-9(8)6-7-10(11)12/h2-7H,1H3,(H,11,12)",RSWBWHPZXKLUEX-UHFFFAOYSA-N,?,25,,apparent,?,acidic,4.5,,,,,,
10945,O=C(O)C1(=CC(=CC=C1)C2(CC2)),OC(=O)C1=CC(=CC=C1)C1CC1,"InChI=1S/C10H10O2/c11-10(12)9-3-1-2-8(6-9)7-4-5-7/h1-3,6-7H,4-5H2,(H,11,12)",RQRAQQYDNSRVRK-UHFFFAOYSA-N,?,25,potentiometric,a1/apparent,?,acidic,4.28,DTXCID40251291,3-Cyclopropylbenzoic acid,1129-06-2,Single Compound,OC(=O)C1=CC=CC(=C1)C1CC1,C10H10O2
10943,O=C(O)C2(C(C1(=CC=CC=C1))C2),OC(O)=C1CC1C1C=CC=CC=1,"InChI=1S/C10H10O2/c11-10(12)9-6-8(9)7-4-2-1-3-5-7/h1-5,8,11-12H,6H2",GDPWNMCWBQUDDH-UHFFFAOYSA-N,"?, ?",25,potentiometric,a/apparent,"?, ?",acidic,4.68,,,,,,
13494,S(C=CC1(=CC=CC=C1))CC(=O)O,OC(O)=CSC=CC1C=CC=CC=1,"InChI=1S/C10H10O2S/c11-10(12)8-13-7-6-9-4-2-1-3-5-9/h1-8,11-12H",WXJAZPUOFPAHJS-UHFFFAOYSA-N,?,,mean from 2,a/apparent,?,acidic,3.5,,,,,,
13516,O=C(O)C=CC1(=CC(OC)=CC=C1),COC1C=C(C=CC=1)C=CC(O)=O,"InChI=1S/C10H10O3/c1-13-9-4-2-3-8(7-9)5-6-10(11)12/h2-7H,1H3,(H,11,12)",LZPNXAULYJPXEH-UHFFFAOYSA-N,?,25,conductometric,1/thermodynamic,?,acidic,4.38,,,,,,
13506,O=C(O)C=CC1(=C(OC)C=CC=C1),COC1C=CC=CC=1C=CC(O)=O,"InChI=1S/C10H10O3/c1-13-9-5-3-2-4-8(9)6-7-10(11)12/h2-7H,1H3,(H,11,12)",FEGVSPGUHMGGBO-UHFFFAOYSA-N,"?, ?",25,,b1/apparent,"?, ?",acidic,4.42,DTXCID00819573,3-(2-Methoxyphenyl)prop-2-enoic acid,NOCAS_871964,Single Compound,COC1=CC=CC=C1C=CC(O)=O,C10H10O3
13524,O=C(O)C1(=CC=C(OCC=C)C=C1),C=CCOC1C=CC(=CC=1)C(O)=O,"InChI=1S/C10H10O3/c1-2-7-13-9-5-3-8(4-6-9)10(11)12/h2-6H,1,7H2,(H,11,12)",DYDWKSVZHZNBLO-UHFFFAOYSA-N,?,25,spectrophotometric,a1/apparent,?,acidic,4.45,DTXCID80283819,4-(allyloxy)benzoic acid,27914-60-9,Single Compound,OC(=O)C1=CC=C(OCC=C)C=C1,C10H10O3
13514,O=C(O)C(=O)C1(=C(C=CC(=C1)C)C),CC1=CC(C(=O)C(O)=O)=C(C)C=C1,"InChI=1S/C10H10O3/c1-6-3-4-7(2)8(5-6)9(11)10(12)13/h3-5H,1-2H3,(H,12,13)",NDYSRCJHIBVQTC-UHFFFAOYSA-N,?,25,potentiometric,a/apparent,?,acidic,1.45,DTXCID601329920,NoName_742,NOCAS_901609,Single Compound,CC1=CC(C(=O)C(O)=O)=C(C)C=C1,C10H10O3
13270,O=C(O)C2(OC1(=C(C=CC=C1)CC2)),OC(O)=C1CCC2C=CC=CC=2O1,"InChI=1S/C10H10O3/c11-10(12)9-6-5-7-3-1-2-4-8(7)13-9/h1-4,11-12H,5-6H2",OFQNBSGSDNWJAJ-UHFFFAOYSA-N,?,25,potentiometric,a/apparent,?,acidic,3.38,,,,,,
13492,[Br]C1(=C(O)C(=O)C=C(C=C1)C(C)C),CC(C)C1C=CC(Br)=C(O)C(=O)C=1,"InChI=1S/C10H11BrO2/c1-6(2)7-3-4-8(11)10(13)9(12)5-7/h3-6H,1-2H3,(H,12,13)",CGYZOYSDCBOVNH-UHFFFAOYSA-N,?,25,potentiometric,a/thermodynamic,?,acidic,6.28,,,,,,
13491,[Br]C1(=C(O)C(=O)C=CC=C1C(C)C),CC(C)C1=CC=CC(=O)C(O)=C1Br,"InChI=1S/C10H11BrO2/c1-6(2)7-4-3-5-8(12)10(13)9(7)11/h3-6H,1-2H3,(H,12,13)",OKRVWQLRBOUFKB-UHFFFAOYSA-N,?,25,potentiometric,a/thermodynamic,?,acidic,6.68,,,,,,
14883,FC(F)(F)C(=NO)C1(=CC(N(C)C)=CC=C1),CN(C)C1C=C(C=CC=1)C(N=O)C(F)(F)F,"InChI=1S/C10H11F3N2O/c1-15(2)8-5-3-4-7(6-8)9(14-16)10(11,12)13/h3-6,9H,1-2H3",OMDVOTYVMOOGAZ-UHFFFAOYSA-N,?,25,spectrophotometric,a1/apparent,?,acidic,9.3,,,,,,
17128,O=C(O)C([NH3+])CC1(=NNC2(=C1C=CC=C2)),N=C(CC1=NNC2=CC=CC=C21)C(O)O,"InChI=1S/C10H11N3O2/c11-7(10(14)15)5-9-6-3-1-2-4-8(6)12-13-9/h1-4,10-11,14-15H,5H2,(H,12,13)",JXKBMHROUWEAAK-UHFFFAOYSA-N,?,,potentiometric,a1/apparent,?,acidic,2.2,,,,,,
16195,S(=O)(=O)(NC=1(SC=C(N=1)C))C2(=CC=C(N)C=C2),CC1=CSC(NS(=O)(=O)C2C=CC(N)=CC=2)=N1,"InChI=1S/C10H11N3O2S2/c1-7-6-16-10(12-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",KJVQYDYPDFFJMP-UHFFFAOYSA-N,?,20,mean from 2,a/apparent,?,acidic,7.12,DTXCID10121972,Sulfamethylthiazole,515-59-3,Single Compound,CC1=CSC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,C10H11N3O2S2
16196,S(=O)(=O)(NC=1(SC=CN=1))C2(=CC(=C(N)C=C2)C),CC1C=C(C=CC=1N)S(=O)(=O)NC1=NC=CS1,"InChI=1S/C10H11N3O2S2/c1-7-6-8(2-3-9(7)11)17(14,15)13-10-12-4-5-16-10/h2-6H,11H2,1H3,(H,12,13)",MGILFWXNSNMZJG-UHFFFAOYSA-N,?,,potentiometric,a/apparent,?,acidic,7.0,DTXCID501330390,NoName_1359,NOCAS_902144,Single Compound,CC1=C(N)C=CC(=C1)S(=O)(=O)NC1=NC=CS1,C10H11N3O2S2
15772,S(=O)(=O)(NC1(=NC(N)=CC=N1))C2(=CC=C(N)C=C2),NC1C=CC(=CC=1)S(=O)(=O)NC1=NC(N)=CC=N1,"InChI=1S/C10H11N5O2S/c11-7-1-3-8(4-2-7)18(16,17)15-10-13-6-5-9(12)14-10/h1-6H,11H2,(H3,12,13,14,15)",NZJLTOYOJWOIFZ-UHFFFAOYSA-N,?,,potentiometric,a/apparent,?,acidic,9.44,DTXCID901330304,NoName_1250,NOCAS_902047,Single Compound,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC(N)=CC=N1,C10H11N5O2S
13652,O(C1(=C(C=CC=C1)C=CC=NO))C,COC1C=CC=CC=1C=CCN=O,"InChI=1S/C10H11NO2/c1-13-10-7-3-2-5-9(10)6-4-8-11-12/h2-7H,8H2,1H3",XXDDOXMISQLNBB-UHFFFAOYSA-N,"?, ?",25,,apparent,"?, ?",acidic,11.07,,,,,,
12210,S=C(OCC)NC(=O)C1(=CC=CC=C1),CCOC(=S)NC(=O)C1C=CC=CC=1,"InChI=1S/C10H11NO2S/c1-2-13-10(14)11-9(12)8-6-4-3-5-7-8/h3-7H,2H2,1H3,(H,11,12,14)",GCMIBRWGMZXOOW-UHFFFAOYSA-N,?,20,potentiometric,a1/apparent,?,acidic,7.46,DTXCID50315398,O-Ethyl benzoylcarbamothioate,6958-78-7,Single Compound,CCOC(=S)NC(=O)C1=CC=CC=C1,C10H11NO2S
12252,O=C(OCC)C(=NO)C1(=CC=CC=C1),CCOC(=O)C(N=O)C1C=CC=CC=1,"InChI=1S/C10H11NO3/c1-2-14-10(12)9(11-13)8-6-4-3-5-7-8/h3-7,9H,2H2,1H3",HDHCDDTUSROLIR-UHFFFAOYSA-N,?,20,potentiometric,a1/apparent,?,acidic,8.95,,,,,,
12251,O=C(N)C(C1(=CC=CC=C1))CC(=O)O,N=C(O)C(CC(O)=O)C1C=CC=CC=1,"InChI=1S/C10H11NO3/c11-10(14)8(6-9(12)13)7-4-2-1-3-5-7/h1-5,8H,6H2,(H2,11,14)(H,12,13)",PPOIRHDTIDWACH-UHFFFAOYSA-N,?,25,mean from 2,thermodynamic,?,acidic,4.23,,,,,,
13424,S(C1(=CC=C(C)C=C1))C2(NC(=O)C2),CC1=CC=C(C=C1)SC1CC(O)=N1,"InChI=1S/C10H11NOS/c1-7-2-4-8(5-3-7)13-10-6-9(12)11-10/h2-5,10H,6H2,1H3,(H,11,12)",GGDQYNXJUXSTHM-UHFFFAOYSA-N,?,25,,a1/apparent,N-H,acidic,13.45,,,,,,
13689,S=C(NC1(=CC=CC=C1))CC(=O)C,C=C(O)CC(=S)NC1C=CC=CC=1,"InChI=1S/C10H11NOS/c1-8(12)7-10(13)11-9-5-3-2-4-6-9/h2-6,12H,1,7H2,(H,11,13)",XJSZBALVTDZBMS-UHFFFAOYSA-N,?,25,mean from 2,a1/apparent,?,acidic,7.5,,,,,,
13503,ClC1(=C(O)C(=CC(=C1)Cl)CCCC),CCCCC1=CC(Cl)=CC(Cl)=C1O,"InChI=1S/C10H12Cl2O/c1-2-3-4-7-5-8(11)6-9(12)10(7)13/h5-6,13H,2-4H2,1H3",CKQVBCJJXPMOPU-UHFFFAOYSA-N,?,25,spectrophotometric,a/apparent,?,acidic,8.1,DTXCID501329915,NoName_735,NOCAS_901603,Single Compound,CCCCC1=CC(Cl)=CC(Cl)=C1O,C10H12Cl2O
12142,O=C(N(C)C)CC(=O)C1(=CC=NC=C1),CN(C)C(O)=CC(=O)C1C=CN=CC=1,"InChI=1S/C10H12N2O2/c1-12(2)10(14)7-9(13)8-3-5-11-6-4-8/h3-7,14H,1-2H3",FRQRVSZRJVPCSK-UHFFFAOYSA-N,?,25,spectrophotometric,a1/apparent,?,acidic,7.75,,,,,,
17018,S=C2(NC(=O)C(C1(C=CCCC1))C([N-]2)=O),OC1=NC(=S)NC(=O)C1C1CCCC=C1,"InChI=1S/C10H12N2O2S/c13-8-7(6-4-2-1-3-5-6)9(14)12-10(15)11-8/h2,4,6-7H,1,3,5H2,(H2,11,12,13,14,15)",KOUSLPSCTHKOII-UHFFFAOYSA-N,?,28,spectrophotometric,a2/apparent,?,acidic,11.31,,,,,,
14866,O=[N+]([O-])C1(=CC=C(CCC([NH3+])C(=O)O)C=C1),N=C(CCC1C=CC(=CC=1)[N+]([O-])=O)C(O)O,"InChI=1S/C10H12N2O4/c11-9(10(13)14)6-3-7-1-4-8(5-2-7)12(15)16/h1-2,4-5,10-11,13-14H,3,6H2",KIDVNDXEXDSFSD-UHFFFAOYSA-N,?,,potentiometric,a1/apparent,?,acidic,3.05,,,,,,
15057,OC1(=NC(=[NH+]C(=C1C)C)N2(N=C(C)C=C2O)),CC1N=C(N=C(O)C=1C)N1N=C(C)C=C1O,"InChI=1S/C10H12N4O2/c1-5-4-8(15)14(13-5)10-11-7(3)6(2)9(16)12-10/h4,15H,1-3H3,(H,11,12,16)",VBANUYXYNRELIJ-UHFFFAOYSA-N,?,20,mean from 2,a1/apparent,?,acidic,5.5,DTXCID401330159,NoName_1059,NOCAS_901884,Single Compound,CC1=NN(C(O)=C1)C1=NC(C)=C(C)C(O)=N1,C10H12N4O2
15055,O(C1(=NC(=NC(=C1)C)N2(N=C(C)C=C2O)))C,CC1C=C(O)N(N=1)C1N=C(C=C(C)N=1)OC,"InChI=1S/C10H12N4O2/c1-6-4-8(16-3)12-10(11-6)14-9(15)5-7(2)13-14/h4-5,15H,1-3H3",XAOVWQZORQBLDK-UHFFFAOYSA-N,?,20,potentiometric,a1/apparent,?,acidic,6.9,DTXCID701330158,NoName_1058,NOCAS_901883,Single Compound,COC1=NC(=NC(C)=C1)N1N=C(C)C=C1O,C10H12N4O2
16297,S2(C1(=NC=NC(=C1NC(C2)=O)N3(CCOCC3))),OC1CSC2=NC=NC(=C2N=1)N1CCOCC1,"InChI=1S/C10H12N4O2S/c15-7-5-17-10-8(13-7)9(11-6-12-10)14-1-3-16-4-2-14/h6H,1-5H2,(H,13,15)",NXZMSMVSXOXJBF-UHFFFAOYSA-N,?,20,spectrophotometric,a2/apparent,?,acidic,10.37,DTXCID201330422,NoName_1397,NOCAS_902177,Single Compound,O=C1CSC2=NC=NC(N3CCOCC3)=C2N1,C10H12N4O2S
13746,OC1(=C2(C(=CC=C1)CCCC2)),OC1C=CC=C2CCCCC2=1,"InChI=1S/C10H12O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h3,5,7,11H,1-2,4,6H2",SCWNNOCLLOHZIG-UHFFFAOYSA-N,?,18,mean from 3,a/apparent,?,acidic,10.46,DTXCID4041319,"1-Naphthalenol, 5,6,7,8-tetrahydro-",529-35-1,Single Compound,OC1=CC=CC2=C1CCCC2,C10H12O
10530,O(C1(=C(O)C=CC(=C1)CC=C))C,COC1C=C(CC=C)C=CC=1O,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,?,25,conductometric,a/thermodynamic,?,acidic,10.0,DTXCID90617,Eugenol,97-53-0,Single Compound,COC1=C(O)C=CC(CC=C)=C1,C10H12O2
10528,O=C(C1(=C(O)C=C(C)C(=C1)C))C,CC1=CC(O)=C(C=C1C)C(=C)O,"InChI=1S/C10H12O2/c1-6-4-9(8(3)11)10(12)5-7(6)2/h4-5,11-12H,3H2,1-2H3",UZCQVKBAUWCFOP-UHFFFAOYSA-N,?,23,mean from 4,a1/apparent,?,acidic,11.56,,,,,,
10515,O=C1(C(O)=CC(C(C)C)=CC=C1),CC(C)C1C=C(O)C(=O)C=CC=1,"InChI=1S/C10H12O2/c1-7(2)8-4-3-5-9(11)10(12)6-8/h3-7H,1-2H3,(H,11,12)",FUWUEFKEXZQKKA-UHFFFAOYSA-N,?,29,mean from 3,a/thermodynamic,?,acidic,7.22,,,,,,
10527,O=C(O)C1(=CC(=CC=C1)C(C)C),CC(C)C1C=C(C=CC=1)C(O)=O,"InChI=1S/C10H12O2/c1-7(2)8-4-3-5-9(6-8)10(11)12/h3-7H,1-2H3,(H,11,12)",DLYVSJDCQZVKMD-UHFFFAOYSA-N,?,25,,a1/thermodynamic,?,acidic,4.27,DTXCID60127545,"Benzoic acid, 3-(1-methylethyl)-",5651-47-8,Single Compound,CC(C)C1=CC(=CC=C1)C(O)=O,C10H12O2
10525,O=C(O)C1(=C(C=CC=C1)C(C)C),CC(C)C1C=CC=CC=1C(O)=O,"InChI=1S/C10H12O2/c1-7(2)8-5-3-4-6-9(8)10(11)12/h3-7H,1-2H3,(H,11,12)",BANZVKGLDQDFDV-UHFFFAOYSA-N,?,25,potentiometric,a/thermodynamic,?,acidic,3.64,DTXCID001329453,NoName_97,NOCAS_901047,Single Compound,CC(C)C1=C(C=CC=C1)C(O)=O,C10H12O2
10517,O=C(O)CCCC1(=CC=CC=C1),OC(O)=CCCC1C=CC=CC=1,"InChI=1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8,11-12H,4,7H2",MWLNKVWPTZRTNE-UHFFFAOYSA-N,?,25,potentiometric,a1/apparent,COOH,acidic,4.78,,,,,,
13496,S(CC(=O)O)CCC1(=CC=CC=C1),OC(O)=CSCCC1C=CC=CC=1,"InChI=1S/C10H12O2S/c11-10(12)8-13-7-6-9-4-2-1-3-5-9/h1-5,8,11-12H,6-7H2",DXKXQFAQWDLQSB-UHFFFAOYSA-N,?,18,potentiometric,thermodynamic,?,acidic,3.8,,,,,,
13274,O=C(O)C1(=C(C2(C=CC1C2))COC),COCC1C2CC(C=C2)C=1C(O)=O,"InChI=1S/C10H12O3/c1-13-5-8-6-2-3-7(4-6)9(8)10(11)12/h2-3,6-7H,4-5H2,1H3,(H,11,12)",KTJBMCLOXXHHMD-UHFFFAOYSA-N,?,25,,a1/apparent,CO2H,acidic,4.59,,,,,,
13530,O=C(O)CCC1(=CC=C(OC)C=C1),COC1C=CC(CC=C(O)O)=CC=1,"InChI=1S/C10H12O3/c1-13-9-5-2-8(3-6-9)4-7-10(11)12/h2-3,5-7,11-12H,4H2,1H3",UYRSBFUVCJDPFU-UHFFFAOYSA-N,?,25,mean from 2,thermodynamic,?,acidic,4.72,,,,,,
13508,O=C(O)CCC1(=C(OC)C=CC=C1),COC1C=CC=CC=1CC=C(O)O,"InChI=1S/C10H12O3/c1-13-9-5-3-2-4-8(9)6-7-10(11)12/h2-5,7,11-12H,6H2,1H3",UIJSTNSXUSPFNM-UHFFFAOYSA-N,?,25,conductometric,thermodynamic,?,acidic,4.8,,,,,,
13515,O=C(OCCC)C1(=CC=C(O)C=C1),CCCOC(=O)C1C=CC(O)=CC=1,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3",QELSKZZBTMNZEB-UHFFFAOYSA-N,?,20,spectrophotometric,b1/apparent,H-O,acidic,8.3,DTXCID602527,Propylparaben,94-13-3,Single Compound,CCCOC(=O)C1=CC=C(O)C=C1,C10H12O3
13522,O=C(O)C1(=C(OCCC)C=CC=C1),CCCOC1C=CC=CC=1C(O)=O,"InChI=1S/C10H12O3/c1-2-7-13-9-6-4-3-5-8(9)10(11)12/h3-6H,2,7H2,1H3,(H,11,12)",OXOWWPXTTOCKKU-UHFFFAOYSA-N,?,20,potentiometric,thermodynamic,?,acidic,4.24,DTXCID60288241,2-Propoxybenzoic acid,2100-31-4,Single Compound,CCCOC1=CC=CC=C1C(O)=O,C10H12O3
13519,O=C(O)C1(=C(C=C(OCC)C=C1)C),CC1C=C(C=CC=1C(O)=O)OCC,"InChI=1S/C10H12O3/c1-3-13-8-4-5-9(10(11)12)7(2)6-8/h4-6H,3H2,1-2H3,(H,11,12)",NPJNAEZUNKBQET-UHFFFAOYSA-N,?,20,potentiometric,a/thermodynamic,?,acidic,4.54,DTXCID001329922,NoName_744,NOCAS_901611,Single Compound,CCOC1=CC(C)=C(C=C1)C(O)=O,C10H12O3
13518,O=C(O)C1(=C(C=CC(=C1)OCC)C),CC1C=CC(=CC=1C(O)=O)OCC,"InChI=1S/C10H12O3/c1-3-13-8-5-4-7(2)9(6-8)10(11)12/h4-6H,3H2,1-2H3,(H,11,12)",UZZXWXJHPVZVFX-UHFFFAOYSA-N,?,20,potentiometric,a/thermodynamic,?,acidic,3.86,DTXCID301329921,NoName_743,NOCAS_901610,Single Compound,CCOC1=CC(C(O)=O)=C(C)C=C1,C10H12O3
13527,O=C(O)C1(=C(C(OCC)=CC=C1)C),CC1C(=CC=CC=1C(O)=O)OCC,"InChI=1S/C10H12O3/c1-3-13-9-6-4-5-8(7(9)2)10(11)12/h4-6H,3H2,1-2H3,(H,11,12)",QZGFHAXSXBAKFG-UHFFFAOYSA-N,?,20,potentiometric,a/thermodynamic,?,acidic,3.73,DTXCID701329923,NoName_746,NOCAS_901613,Single Compound,CCOC1=CC=CC(C(O)=O)=C1C,C10H12O3
